topic,summaryFile,scuSentCharIdx,scuSentence,documentFile,docSentCharIdx,docSentText,docSpanOffsets,summarySpanOffsets,docSpanText,summarySpanText,Quality,pred_prob
D0606F,NYT19980812.0321,1275,"Amy ``Kalee'' Kreider, director of the U.S. global warming campaign for Greenpeace, an environmental organization which sponsored the news conference, said, ``In most of the lower 48 states, ice is seen as bad.",XIE19980327.0038,239,"At a press conference held here at the UNEP headquarters, Alex Alusa, program officer of UNEP atmosphere unit, said that UNEP had organized seminars to help African leaders in planning and preparing for droughts in Africa.","242, 295","1359, 1388;1395, 1424",a press conference held here at the UNEP headquarters,an environmental organization...sponsored the news conference,0,0.54450274
D0606F,NYT19980812.0321,1275,"Amy ``Kalee'' Kreider, director of the U.S. global warming campaign for Greenpeace, an environmental organization which sponsored the news conference, said, ``In most of the lower 48 states, ice is seen as bad.",XIE19980327.0038,239,"At a press conference held here at the UNEP headquarters, Alex Alusa, program officer of UNEP atmosphere unit, said that UNEP had organized seminars to help African leaders in planning and preparing for droughts in Africa.","239, 260;297, 307;350, 461","1359, 1388;1395, 1424",At a press conference...Alex Alusa...said that UNEP had organized seminars to help African leaders in planning and preparing for droughts in Africa.,an environmental organization...sponsored the news conference,0,0.51349926
D0606F,NYT19980812.0321,1275,"Amy ``Kalee'' Kreider, director of the U.S. global warming campaign for Greenpeace, an environmental organization which sponsored the news conference, said, ``In most of the lower 48 states, ice is seen as bad.",NYT19980812.0321,1275,"Amy ``Kalee'' Kreider, director of the U.S. global warming campaign for Greenpeace, an environmental organization which sponsored the news conference, said, ``In most of the lower 48 states, ice is seen as bad.","1426, 1430;1432, 1485","1426, 1430;1432, 1485","said...``In most of the lower 48 states, ice is seen as bad.","said...``In most of the lower 48 states, ice is seen as bad.",0,0.74337363
D0606F,NYT19980812.0321,1486,That's not the way things are seen in Alaska.'',NYT19980812.0321,1486,That's not the way things are seen in Alaska.'',"1486, 1511","1486, 1511",That's not the way things,That's not the way things,0,0.7063487
D0606F,NYT19980812.0321,1486,That's not the way things are seen in Alaska.'',NYT19980812.0321,1486,That's not the way things are seen in Alaska.'',"1486, 1531","1486, 1531",That's not the way things are seen in Alaska.,That's not the way things are seen in Alaska.,0,0.7331305
D0606F,NYT19980812.0321,1534,"A new report on global climate change released by Greenpeace said that as the seas warm up and glaciers melt, animals such as walruses seals, and caribous move north to colder temperatures.",NYT19980812.0321,1534,"A new report on global climate change released by Greenpeace said that as the seas warm up and glaciers melt, animals such as walruses seals, and caribous move north to colder temperatures.","1550, 1594","1550, 1594",global climate change released by Greenpeace,global climate change released by Greenpeace,0,0.6906532
D0606F,NYT19980812.0321,1534,"A new report on global climate change released by Greenpeace said that as the seas warm up and glaciers melt, animals such as walruses seals, and caribous move north to colder temperatures.",APW19980610.0858,0,"WASHINGTON, D.C. 20003 Tel: 202-547-4512 Fax: 202-546-4194 COPYRIGHT 1998 BY WORLDSOURCES, INC., A JOINT VENTURE OF FDCH, INC. AND WORLD TIMES, INC. NO PORTION OF THE MATERIALS CONTAINED HEREIN MAY BE USED IN ANY MEDIA WITHOUT ATTRIBUTION TO WORLDSOURCES, INC. Greenhouse gas emissions - blamed for global warming - may cause the collapse of the West Antarctic Ice Sheet and raise the average global sea level by four to six metres, beginning as early as the next century, a new scientific study predicted recently.","473, 515","1534, 1571;1595, 1723",a new scientific study predicted recently.,"A new report on global climate change...said that as the seas warm up and glaciers melt, animals such as walruses seals, and caribous move north to colder temperatures.",0,0.5257762
D0606F,NYT19980812.0321,1534,"A new report on global climate change released by Greenpeace said that as the seas warm up and glaciers melt, animals such as walruses seals, and caribous move north to colder temperatures.",APW19981112.1510,3808,Some governments warn they can't wait for a definitive answer to why the oceans are rising.,"3877, 3899","1534, 1571;1595, 1723",the oceans are rising.,"A new report on global climate change...said that as the seas warm up and glaciers melt, animals such as walruses seals, and caribous move north to colder temperatures.",0,0.5625173
D0606F,NYT19980812.0321,1534,"A new report on global climate change released by Greenpeace said that as the seas warm up and glaciers melt, animals such as walruses seals, and caribous move north to colder temperatures.",APW19990608.0009,2584,"Welch said that if the warming continues as part of a broader global climate change, the salmon as a species may be forced northward into the Bering Sea, abandoning their traditional Pacific habitat.","2584, 2736","1534, 1571;1595, 1723","Welch said that if the warming continues as part of a broader global climate change, the salmon as a species may be forced northward into the Bering Sea","A new report on global climate change...said that as the seas warm up and glaciers melt, animals such as walruses seals, and caribous move north to colder temperatures.",0,0.5328331
D0606F,NYT19980812.0321,1534,"A new report on global climate change released by Greenpeace said that as the seas warm up and glaciers melt, animals such as walruses seals, and caribous move north to colder temperatures.",NYT19980812.0321,1534,"A new report on global climate change released by Greenpeace said that as the seas warm up and glaciers melt, animals such as walruses seals, and caribous move north to colder temperatures.","1534, 1571;1595, 1723","1534, 1571;1595, 1723","A new report on global climate change...said that as the seas warm up and glaciers melt, animals such as walruses seals, and caribous move north to colder temperatures.","A new report on global climate change...said that as the seas warm up and glaciers melt, animals such as walruses seals, and caribous move north to colder temperatures.",0,0.72291017
D0606F,NYT19980812.0321,1534,"A new report on global climate change released by Greenpeace said that as the seas warm up and glaciers melt, animals such as walruses seals, and caribous move north to colder temperatures.",NYT19990720.0148,1716,"_ New York City will suffer repeated flooding in the next century as global warming raises the sea level, soaking subways and turning parts of Brooklyn into wetlands, said a report issued jointly on June 29 by the Environmental Defense Fund and Columbia University.","1785, 1820","1534, 1571;1595, 1723",global warming raises the sea level,"A new report on global climate change...said that as the seas warm up and glaciers melt, animals such as walruses seals, and caribous move north to colder temperatures.",0,0.5138794
D0606F,NYT19980812.0321,1534,"A new report on global climate change released by Greenpeace said that as the seas warm up and glaciers melt, animals such as walruses seals, and caribous move north to colder temperatures.",NYT19990720.0148,3170,"For that reason, slightly higher rates of warming and sea level rise related to warming are expected, according to a climate study written by Wigley and released June 29 by the Pew Center on Global Climate Change in Washington.","3285, 3300;3323, 3397","1534, 1571;1595, 1723",a climate study...released June 29 by the Pew Center on Global Climate Change in Washington.,"A new report on global climate change...said that as the seas warm up and glaciers melt, animals such as walruses seals, and caribous move north to colder temperatures.",0,0.5064419
D0606F,NYT19980812.0321,1534,"A new report on global climate change released by Greenpeace said that as the seas warm up and glaciers melt, animals such as walruses seals, and caribous move north to colder temperatures.",NYT19991206.0093,6294,(Runoff from melting glaciers contributes to a rising global sea level.,"6295, 6365","1534, 1571;1595, 1723",Runoff from melting glaciers contributes to a rising global sea level.,"A new report on global climate change...said that as the seas warm up and glaciers melt, animals such as walruses seals, and caribous move north to colder temperatures.",0,0.54285556
D0606F,NYT19980812.0321,1534,"A new report on global climate change released by Greenpeace said that as the seas warm up and glaciers melt, animals such as walruses seals, and caribous move north to colder temperatures.",XIE19960113.0145,898,Higher ocean surface temperatures caused by the greenhouse effect of the global atmosphere will alter the direction of ocean currents.,"898, 988","1534, 1571;1595, 1723",Higher ocean surface temperatures caused by the greenhouse effect of the global atmosphere,"A new report on global climate change...said that as the seas warm up and glaciers melt, animals such as walruses seals, and caribous move north to colder temperatures.",0,0.5833613
D0606F,NYT19980812.0321,1534,"A new report on global climate change released by Greenpeace said that as the seas warm up and glaciers melt, animals such as walruses seals, and caribous move north to colder temperatures.",XIE19971001.0046,1359,"It said that climate change is projected to raise sea levels; increase the likelihood of more intense rainfall, floods, and droughts; and endanger human health by greater exposure to heat waves and encroachment of tropical diseases to higher latitudes.","1359, 1419","1534, 1571;1595, 1723",It said that climate change is projected to raise sea levels,"A new report on global climate change...said that as the seas warm up and glaciers melt, animals such as walruses seals, and caribous move north to colder temperatures.",0,0.553604
D0606F,NYT19980812.0321,1534,"A new report on global climate change released by Greenpeace said that as the seas warm up and glaciers melt, animals such as walruses seals, and caribous move north to colder temperatures.",XIE19971114.0179,496,"As the world warms, global sea levels will rise as oceans expand.","496, 514;516, 561","1534, 1571;1595, 1723",As the world warms...global sea levels will rise as oceans expand.,"A new report on global climate change...said that as the seas warm up and glaciers melt, animals such as walruses seals, and caribous move north to colder temperatures.",0,0.659213
D0606F,NYT19980812.0321,1534,"A new report on global climate change released by Greenpeace said that as the seas warm up and glaciers melt, animals such as walruses seals, and caribous move north to colder temperatures.",XIE19971121.0037,644,He cited a recent report by the Intergovernmental Panel on Climate Change which noted that stablization of the concentration of greenhouse gases by the year 2100 will nonetheless be accompanied by rising temperatures and higher sea levels.,"644, 717","1534, 1571;1595, 1723",He cited a recent report by the Intergovernmental Panel on Climate Change,"A new report on global climate change...said that as the seas warm up and glaciers melt, animals such as walruses seals, and caribous move north to colder temperatures.",0,0.6089549
D0606F,NYT19980812.0321,1534,"A new report on global climate change released by Greenpeace said that as the seas warm up and glaciers melt, animals such as walruses seals, and caribous move north to colder temperatures.",XIE19971121.0037,644,He cited a recent report by the Intergovernmental Panel on Climate Change which noted that stablization of the concentration of greenhouse gases by the year 2100 will nonetheless be accompanied by rising temperatures and higher sea levels.,"703, 717;724, 883","1534, 1571;1595, 1723",Climate Change...noted that stablization of the concentration of greenhouse gases by the year 2100 will nonetheless be accompanied by rising temperatures and higher sea levels.,"A new report on global climate change...said that as the seas warm up and glaciers melt, animals such as walruses seals, and caribous move north to colder temperatures.",0,0.5277469
D0606F,NYT19980812.0321,1724,These animals are a staple food for villagers in the Bering and Chukchi Seas region near Siberia.,NYT19980812.0321,1724,These animals are a staple food for villagers in the Bering and Chukchi Seas region near Siberia.,"1724, 1821","1724, 1821",These animals are a staple food for villagers in the Bering and Chukchi Seas region near Siberia.,These animals are a staple food for villagers in the Bering and Chukchi Seas region near Siberia.,0,0.74049085
D0606F,NYT19980812.0321,1822,"The report said some plants are dying as tundra dries out because permafrost, ground that is frozen all year, is thawing and water is draining off.",NYT19980812.0321,1822,"The report said some plants are dying as tundra dries out because permafrost, ground that is frozen all year, is thawing and water is draining off.","1822, 1898","1822, 1898",The report said some plants are dying as tundra dries out because permafrost,The report said some plants are dying as tundra dries out because permafrost,0,0.7360237
D0606F,NYT19980812.0321,1822,"The report said some plants are dying as tundra dries out because permafrost, ground that is frozen all year, is thawing and water is draining off.",NYT19980812.0321,1822,"The report said some plants are dying as tundra dries out because permafrost, ground that is frozen all year, is thawing and water is draining off.","1935, 1969","1935, 1969",thawing and water is draining off.,thawing and water is draining off.,0,0.7311566
D0606F,NYT19980812.0321,1822,"The report said some plants are dying as tundra dries out because permafrost, ground that is frozen all year, is thawing and water is draining off.",NYT19991206.0093,0,"Evidence continues to accumulate that the frozen world of the Arctic and sub-Arctic is thawing, and the findings are spotlighting two increasingly important questions:  Can what is happening in the Great White North touch off sudden shifts in climate that will transform weather and disrupt life throughout the Northern Hemisphere?","0, 94","1935, 1969",Evidence continues to accumulate that the frozen world of the Arctic and sub-Arctic is thawing,thawing and water is draining off.,0,0.5580817
D0606F,NYT19980812.0321,1822,"The report said some plants are dying as tundra dries out because permafrost, ground that is frozen all year, is thawing and water is draining off.",NYT19991206.0093,6565,"A warmer atmosphere causes more water to evaporate from the oceans, and some scientists believe that some of this increased atmospheric moisture would be transported to the far north, where it would produce a heavier runoff of fresh water into the North Atlantic.","6565, 6631","1935, 1969",A warmer atmosphere causes more water to evaporate from the oceans,thawing and water is draining off.,0,0.5420783
D0606F,NYT19980812.0321,1970,Kreider also said the pesky sprucebark beetle has moved further north as temperatures climb.,NYT19980812.0321,1970,Kreider also said the pesky sprucebark beetle has moved further north as temperatures climb.,"1970, 1977;1983, 2062","1970, 1977;1983, 2062",Kreider...said the pesky sprucebark beetle has moved further north as temperatures climb.,Kreider...said the pesky sprucebark beetle has moved further north as temperatures climb.,0,0.7491027
D0606F,NYT19980812.0321,2063,She said it has already ``devastated a huge swathe of forest in southern Alaska (and) ... as far north as Fairbanks.'',NYT19980812.0321,2063,She said it has already ``devastated a huge swathe of forest in southern Alaska (and) ... as far north as Fairbanks.'',"2063, 2179","2063, 2179",She said it has already ``devastated a huge swathe of forest in southern Alaska (and) ... as far north as Fairbanks.,She said it has already ``devastated a huge swathe of forest in southern Alaska (and) ... as far north as Fairbanks.,0,0.7490971
D0606F,NYT19980812.0321,2063,She said it has already ``devastated a huge swathe of forest in southern Alaska (and) ... as far north as Fairbanks.'',NYT19980812.0321,2063,She said it has already ``devastated a huge swathe of forest in southern Alaska (and) ... as far north as Fairbanks.'',"2072, 2086;2089, 2142","2063, 2179",it has already...devastated a huge swathe of forest in southern Alaska,She said it has already ``devastated a huge swathe of forest in southern Alaska (and) ... as far north as Fairbanks.,0,0.7409834
D0606F,NYT19980812.0321,2063,She said it has already ``devastated a huge swathe of forest in southern Alaska (and) ... as far north as Fairbanks.'',NYT19980812.0321,2063,She said it has already ``devastated a huge swathe of forest in southern Alaska (and) ... as far north as Fairbanks.'',"2088, 2142","2063, 2179",`devastated a huge swathe of forest in southern Alaska,She said it has already ``devastated a huge swathe of forest in southern Alaska (and) ... as far north as Fairbanks.,0,0.7241927
D0606F,NYT19980812.0321,2063,She said it has already ``devastated a huge swathe of forest in southern Alaska (and) ... as far north as Fairbanks.'',NYT19980812.0321,2063,She said it has already ``devastated a huge swathe of forest in southern Alaska (and) ... as far north as Fairbanks.'',"2063, 2179","2072, 2086;2089, 2142",She said it has already ``devastated a huge swathe of forest in southern Alaska (and) ... as far north as Fairbanks.,it has already...devastated a huge swathe of forest in southern Alaska,0,0.7061414
D0606F,NYT19980812.0321,2063,She said it has already ``devastated a huge swathe of forest in southern Alaska (and) ... as far north as Fairbanks.'',NYT19980812.0321,2063,She said it has already ``devastated a huge swathe of forest in southern Alaska (and) ... as far north as Fairbanks.'',"2072, 2086;2089, 2142","2072, 2086;2089, 2142",it has already...devastated a huge swathe of forest in southern Alaska,it has already...devastated a huge swathe of forest in southern Alaska,0,0.7225828
D0606F,NYT19980812.0321,2063,She said it has already ``devastated a huge swathe of forest in southern Alaska (and) ... as far north as Fairbanks.'',NYT19980812.0321,2063,She said it has already ``devastated a huge swathe of forest in southern Alaska (and) ... as far north as Fairbanks.'',"2088, 2142","2072, 2086;2089, 2142",`devastated a huge swathe of forest in southern Alaska,it has already...devastated a huge swathe of forest in southern Alaska,0,0.722307
D0606F,NYT19980812.0321,2063,She said it has already ``devastated a huge swathe of forest in southern Alaska (and) ... as far north as Fairbanks.'',NYT19980812.0321,2063,She said it has already ``devastated a huge swathe of forest in southern Alaska (and) ... as far north as Fairbanks.'',"2063, 2179","2088, 2142",She said it has already ``devastated a huge swathe of forest in southern Alaska (and) ... as far north as Fairbanks.,`devastated a huge swathe of forest in southern Alaska,0,0.7039692
D0606F,NYT19980812.0321,2063,She said it has already ``devastated a huge swathe of forest in southern Alaska (and) ... as far north as Fairbanks.'',NYT19980812.0321,2063,She said it has already ``devastated a huge swathe of forest in southern Alaska (and) ... as far north as Fairbanks.'',"2072, 2086;2089, 2142","2088, 2142",it has already...devastated a huge swathe of forest in southern Alaska,`devastated a huge swathe of forest in southern Alaska,0,0.7233868
D0606F,NYT19980812.0321,2063,She said it has already ``devastated a huge swathe of forest in southern Alaska (and) ... as far north as Fairbanks.'',NYT19980812.0321,2063,She said it has already ``devastated a huge swathe of forest in southern Alaska (and) ... as far north as Fairbanks.'',"2088, 2142","2088, 2142",`devastated a huge swathe of forest in southern Alaska,`devastated a huge swathe of forest in southern Alaska,0,0.7298561
D0606F,NYT19980812.0321,2182,The report cited interviews with natives in eight villages in the Bering and Chukchi Seas.,NYT19980812.0321,2182,The report cited interviews with natives in eight villages in the Bering and Chukchi Seas.,"2182, 2272","2182, 2272",The report cited interviews with natives in eight villages in the Bering and Chukchi Seas.,The report cited interviews with natives in eight villages in the Bering and Chukchi Seas.,0,0.74581486
D0606F,NYT19980812.0321,2273,Kreider said Greenpeace expects Congress to hold hearings in January on the Alaskan climate change and that some of the people quoted in the report will testify.,NYT19980812.0321,2273,Kreider said Greenpeace expects Congress to hold hearings in January on the Alaskan climate change and that some of the people quoted in the report will testify.,"2273, 2399","2273, 2399",Kreider said Greenpeace expects Congress to hold hearings in January on the Alaskan climate change and that some of the people,Kreider said Greenpeace expects Congress to hold hearings in January on the Alaskan climate change and that some of the people,0,0.7259621
D0606F,NYT19980812.0321,2273,Kreider said Greenpeace expects Congress to hold hearings in January on the Alaskan climate change and that some of the people quoted in the report will testify.,NYT19980812.0321,2273,Kreider said Greenpeace expects Congress to hold hearings in January on the Alaskan climate change and that some of the people quoted in the report will testify.,"2389, 2420","2389, 2420",the people quoted in the report,the people quoted in the report,0,0.69495296
D0606F,NYT19980812.0321,2273,Kreider said Greenpeace expects Congress to hold hearings in January on the Alaskan climate change and that some of the people quoted in the report will testify.,NYT19980812.0321,2273,Kreider said Greenpeace expects Congress to hold hearings in January on the Alaskan climate change and that some of the people quoted in the report will testify.,"2381, 2399;2410, 2413;2421, 2434","2381, 2399;2410, 2413;2421, 2434",some of the people...the...will testify.,some of the people...the...will testify.,0,0.7247596
D0606F,NYT19980812.0321,2435,"She urged U.S. approval of the so-called Kyoto Protocol, an accord reached by negotiators around the world last December that would require industrial nations to make significant cuts in carbon dioxide and other greenhouse gas emissions by 2012.",NYT19980812.0321,2435,"She urged U.S. approval of the so-called Kyoto Protocol, an accord reached by negotiators around the world last December that would require industrial nations to make significant cuts in carbon dioxide and other greenhouse gas emissions by 2012.","2435, 2490","2435, 2490",She urged U.S. approval of the so-called Kyoto Protocol,She urged U.S. approval of the so-called Kyoto Protocol,0,0.730206
D0606F,NYT19980812.0321,2435,"She urged U.S. approval of the so-called Kyoto Protocol, an accord reached by negotiators around the world last December that would require industrial nations to make significant cuts in carbon dioxide and other greenhouse gas emissions by 2012.",APW19980610.0858,2510,"To deal with this threat 38 industrialised countries agreed at a conference last December in Kyoto, Japan to reduce their emissions of six greenhouse gases by about six percent overall between 2008 and 2012.","2510, 2608","2492, 2555",To deal with this threat 38 industrialised countries agreed at a conference last December in Kyoto,an accord reached by negotiators around the world last December,0,0.5847584
D0606F,NYT19980812.0321,2435,"She urged U.S. approval of the so-called Kyoto Protocol, an accord reached by negotiators around the world last December that would require industrial nations to make significant cuts in carbon dioxide and other greenhouse gas emissions by 2012.",NYT19980812.0321,2435,"She urged U.S. approval of the so-called Kyoto Protocol, an accord reached by negotiators around the world last December that would require industrial nations to make significant cuts in carbon dioxide and other greenhouse gas emissions by 2012.","2492, 2555","2492, 2555",an accord reached by negotiators around the world last December,an accord reached by negotiators around the world last December,0,0.731033
D0606F,NYT19980812.0321,2435,"She urged U.S. approval of the so-called Kyoto Protocol, an accord reached by negotiators around the world last December that would require industrial nations to make significant cuts in carbon dioxide and other greenhouse gas emissions by 2012.",NYT19980812.0321,2435,"She urged U.S. approval of the so-called Kyoto Protocol, an accord reached by negotiators around the world last December that would require industrial nations to make significant cuts in carbon dioxide and other greenhouse gas emissions by 2012.","2525, 2555;2561, 2680","2492, 2555",around the world last December...would require industrial nations to make significant cuts in carbon dioxide and other greenhouse gas emissions by 2012.,an accord reached by negotiators around the world last December,0,0.5957586
D0606F,NYT19980812.0321,2435,"She urged U.S. approval of the so-called Kyoto Protocol, an accord reached by negotiators around the world last December that would require industrial nations to make significant cuts in carbon dioxide and other greenhouse gas emissions by 2012.",APW19981112.1510,944,"The two-week summit was expected to conclude Friday with a framework for carrying out the 1997 Kyoto treaty, which calls for reductions in heat-trapping gases by industrialized nations by 2012.","1030, 1051;1059, 1137","2525, 2555;2561, 2680",the 1997 Kyoto treaty...calls for reductions in heat-trapping gases by industrialized nations by 2012.,around the world last December...would require industrial nations to make significant cuts in carbon dioxide and other greenhouse gas emissions by 2012.,0,0.686015
D0606F,NYT19980812.0321,2435,"She urged U.S. approval of the so-called Kyoto Protocol, an accord reached by negotiators around the world last December that would require industrial nations to make significant cuts in carbon dioxide and other greenhouse gas emissions by 2012.",NYT19980812.0321,2435,"She urged U.S. approval of the so-called Kyoto Protocol, an accord reached by negotiators around the world last December that would require industrial nations to make significant cuts in carbon dioxide and other greenhouse gas emissions by 2012.","2492, 2555","2525, 2555;2561, 2680",an accord reached by negotiators around the world last December,around the world last December...would require industrial nations to make significant cuts in carbon dioxide and other greenhouse gas emissions by 2012.,0,0.6326691
D0606F,NYT19980812.0321,2435,"She urged U.S. approval of the so-called Kyoto Protocol, an accord reached by negotiators around the world last December that would require industrial nations to make significant cuts in carbon dioxide and other greenhouse gas emissions by 2012.",NYT19980812.0321,2435,"She urged U.S. approval of the so-called Kyoto Protocol, an accord reached by negotiators around the world last December that would require industrial nations to make significant cuts in carbon dioxide and other greenhouse gas emissions by 2012.","2525, 2555;2561, 2680","2525, 2555;2561, 2680",around the world last December...would require industrial nations to make significant cuts in carbon dioxide and other greenhouse gas emissions by 2012.,around the world last December...would require industrial nations to make significant cuts in carbon dioxide and other greenhouse gas emissions by 2012.,0,0.7491292
D0606F,NYT19980812.0321,2435,"She urged U.S. approval of the so-called Kyoto Protocol, an accord reached by negotiators around the world last December that would require industrial nations to make significant cuts in carbon dioxide and other greenhouse gas emissions by 2012.",XIE19960710.0006,891,"According to them, the most efficient precautionary measure is an early and substantial reduction of carbon dioxide and other greenhouse gas emissions.","910, 1042","2525, 2555;2561, 2680",the most efficient precautionary measure is an early and substantial reduction of carbon dioxide and other greenhouse gas emissions.,around the world last December...would require industrial nations to make significant cuts in carbon dioxide and other greenhouse gas emissions by 2012.,0,0.6048587
D0606F,NYT19980812.0321,2435,"She urged U.S. approval of the so-called Kyoto Protocol, an accord reached by negotiators around the world last December that would require industrial nations to make significant cuts in carbon dioxide and other greenhouse gas emissions by 2012.",XIE19961017.0313,2026,"If the present level of ecosystem is to be maintained, at least 20 percent of Co2 emission will have to be reduced worldwide, Markham added.","2081, 2116;2127, 2150","2525, 2555;2561, 2680",at least 20 percent of Co2 emission...to be reduced worldwide,around the world last December...would require industrial nations to make significant cuts in carbon dioxide and other greenhouse gas emissions by 2012.,0,0.5228918
D0606F,NYT19980812.0321,2435,"She urged U.S. approval of the so-called Kyoto Protocol, an accord reached by negotiators around the world last December that would require industrial nations to make significant cuts in carbon dioxide and other greenhouse gas emissions by 2012.",XIE19971001.0046,724,Leading scientists came to the Science Summit to urge world leaders at their Kyoto Climate Summit in Japan in December to negotiate final agreement on a treaty to reduce emissions of carbon dioxide and other heat-trapping gases that are altering the climate.,"875, 951","2525, 2555;2561, 2680",a treaty to reduce emissions of carbon dioxide and other heat-trapping gases,around the world last December...would require industrial nations to make significant cuts in carbon dioxide and other greenhouse gas emissions by 2012.,0,0.638321
D0606F,NYT19980812.0321,2435,"She urged U.S. approval of the so-called Kyoto Protocol, an accord reached by negotiators around the world last December that would require industrial nations to make significant cuts in carbon dioxide and other greenhouse gas emissions by 2012.",XIE19981031.0181,427,"All the countries, especially the industrialized ones, must commit themselves to take more stringent measures to reduce their carbon dioxide emissions, they added.","427, 536","2525, 2555;2561, 2680","All the countries, especially the industrialized ones, must commit themselves to take more stringent measures",around the world last December...would require industrial nations to make significant cuts in carbon dioxide and other greenhouse gas emissions by 2012.,0,0.619351
D0606F,NYT19980812.0321,2435,"She urged U.S. approval of the so-called Kyoto Protocol, an accord reached by negotiators around the world last December that would require industrial nations to make significant cuts in carbon dioxide and other greenhouse gas emissions by 2012.",XIE19981031.0181,427,"All the countries, especially the industrialized ones, must commit themselves to take more stringent measures to reduce their carbon dioxide emissions, they added.","494, 577","2525, 2555;2561, 2680",themselves to take more stringent measures to reduce their carbon dioxide emissions,around the world last December...would require industrial nations to make significant cuts in carbon dioxide and other greenhouse gas emissions by 2012.,0,0.5333704
D0606F,NYT19980812.0321,2435,"She urged U.S. approval of the so-called Kyoto Protocol, an accord reached by negotiators around the world last December that would require industrial nations to make significant cuts in carbon dioxide and other greenhouse gas emissions by 2012.",XIE20000216.0224,909,"New Zealand Environment Minister Marian Hobbs gave an opening speech at the meeting, pledging that her country would honor its international greenhouse gas control targets and take steps to reduce carbon dioxide emissions linked to global warming.","1096, 1156","2525, 2555;2561, 2680",to reduce carbon dioxide emissions linked to global warming.,around the world last December...would require industrial nations to make significant cuts in carbon dioxide and other greenhouse gas emissions by 2012.,0,0.5735651
D0606F,NYT19980812.0321,2681,"The Greenpeace report noted that the Intergovernmental Panel on Climate Change, a group of 1,600 climate scientists from around the world, said Arctic sea ice has decreased 2.8 percent each decade since the late 1970s.",NYT19980812.0321,2681,"The Greenpeace report noted that the Intergovernmental Panel on Climate Change, a group of 1,600 climate scientists from around the world, said Arctic sea ice has decreased 2.8 percent each decade since the late 1970s.","2681, 2899","2681, 2899","The Greenpeace report noted that the Intergovernmental Panel on Climate Change, a group of 1,600 climate scientists from around the world, said Arctic sea ice has decreased 2.8 percent each decade since the late 1970s.","The Greenpeace report noted that the Intergovernmental Panel on Climate Change, a group of 1,600 climate scientists from around the world, said Arctic sea ice has decreased 2.8 percent each decade since the late 1970s.",0,0.7496648
D0606F,NYT19980812.0321,2681,"The Greenpeace report noted that the Intergovernmental Panel on Climate Change, a group of 1,600 climate scientists from around the world, said Arctic sea ice has decreased 2.8 percent each decade since the late 1970s.",NYT19980812.0321,2681,"The Greenpeace report noted that the Intergovernmental Panel on Climate Change, a group of 1,600 climate scientists from around the world, said Arctic sea ice has decreased 2.8 percent each decade since the late 1970s.","2714, 2759;2820, 2899","2681, 2899",the Intergovernmental Panel on Climate Change...said Arctic sea ice has decreased 2.8 percent each decade since the late 1970s.,"The Greenpeace report noted that the Intergovernmental Panel on Climate Change, a group of 1,600 climate scientists from around the world, said Arctic sea ice has decreased 2.8 percent each decade since the late 1970s.",0,0.7444148
D0606F,NYT19980812.0321,2681,"The Greenpeace report noted that the Intergovernmental Panel on Climate Change, a group of 1,600 climate scientists from around the world, said Arctic sea ice has decreased 2.8 percent each decade since the late 1970s.",NYT19990607.0382,4051,"According to the Environmental Protection Agency, over the past century mean global temperatures have increased 0.6 to 1.2 degrees, the global sea level has risen 4 to 10 inches, and the snow cover in the Northern Hemisphere and floating ice in the Arctic Ocean have decreased.","4234, 4328","2681, 2899",the snow cover in the Northern Hemisphere and floating ice in the Arctic Ocean have decreased.,"The Greenpeace report noted that the Intergovernmental Panel on Climate Change, a group of 1,600 climate scientists from around the world, said Arctic sea ice has decreased 2.8 percent each decade since the late 1970s.",0,0.5146461
D0606F,NYT19980812.0321,2681,"The Greenpeace report noted that the Intergovernmental Panel on Climate Change, a group of 1,600 climate scientists from around the world, said Arctic sea ice has decreased 2.8 percent each decade since the late 1970s.",NYT19991206.0093,4344,"In one, reported in the December issue of the journal Geophysical Research Letters, scientists analyzed data collected by sonar aboard nuclear submarines and found that the floating ice cover of the Arctic Ocean has become about 40 percent thinner than it was two to four decades ago.","4344, 4350;4428, 4438;4502, 4628","2681, 2899",In one...scientists...found that the floating ice cover of the Arctic Ocean has become about 40 percent thinner than it was two to four decades ago.,"The Greenpeace report noted that the Intergovernmental Panel on Climate Change, a group of 1,600 climate scientists from around the world, said Arctic sea ice has decreased 2.8 percent each decade since the late 1970s.",0,0.53879386
D0606F,NYT19980812.0321,2681,"The Greenpeace report noted that the Intergovernmental Panel on Climate Change, a group of 1,600 climate scientists from around the world, said Arctic sea ice has decreased 2.8 percent each decade since the late 1970s.",XIE19971001.0046,223,"A consensus declaration ""World Scientists' Call for Action at Kyoto,"" signed by more than 1,500 scientists, was presented to the U.S. government at the Summit on Climate Change in Washington, DC.","223, 290;293, 329","2681, 2899","A consensus declaration ""World Scientists' Call for Action at Kyoto...signed by more than 1,500 scientists","The Greenpeace report noted that the Intergovernmental Panel on Climate Change, a group of 1,600 climate scientists from around the world, said Arctic sea ice has decreased 2.8 percent each decade since the late 1970s.",0,0.5510967
